timestamp,total_duration,time_between_movements,hover_time,position_x,position_y,velocity,acceleration,jerk,path_length,click_events,scroll_events,average_velocity,peak_velocity,average_acceleration,peak_acceleration,average_momentum,peak_momentum,smoothness,deviation_from_ideal_path,idle_time,fitts_index_of_difficulty,fitts_movement_time
1755143536.6444,0,0,0,62.39453125,683.86328125,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0
1755143536.6520,0.007651,0.007651,0,62.39453125,679.0703125,626.4499738596262,0,0,4.79296875,None,None,626.4499738596262,626.4499738596262,0,0,626.4499738596262,626.4499738596262,0,1,0,0.06754192021686306,0.007651
1755143536.6662,0.021836,0.014185,0,65.703125,672.4453125,595.1289204732082,-662.4121266073607,-46698.07025783297,12.198197821577669,None,None,610.7894471664172,626.4499738596262,-662.4121266073607,0,610.7894471664172,626.4499738596262,0,1.0261214596343236,0,0.16205111727156268,0.021836
1755143536.6830,0.038638,0.016802,0,80.33984375,643.31640625,998.6546918592034,6741.271124266083,440642.9741026927,44.797687312793485,None,None,740.0778620640126,998.6546918592034,3039.429498829361,6741.271124266083,740.0778620640126,998.6546918592034,0.0000022694109716292632,1.0103099624146157,-0.000000000000000006938893903907228,0.5294765375608541,0.038638
1755143536.6993,0.054966,0.016328,0,99.4921875,603.01171875,1518.9461150849515,14278.384334250128,461606.63951396657,89.42144898290395,None,None,934.7949253192473,1518.9461150849515,6785.7477773029495,14278.384334250128,934.7949253192473,1518.9461150849515,0.000002216681470200933,1.0052297260221297,0,0.918052103158007,0.054966
1755143536.7168,0.072462,0.017496,0,116.71875,561.0546875,1840.9677268166454,15516.501608249673,70765.73353906866,134.77723060862266,None,None,1116.029485618727,1840.9677268166454,8968.43623503963,15516.501608249673,1116.029485618727,1840.9677268166454,0.0000030831990561808266,1.0036485850439205,0,1.2282785802727023,0.072462
1755143536.7323,0.087923,0.015461,0,123.484375,544.12890625,1642.3650860876674,7007.932846317207,-550324.6078476468,153.00511453856572,None,None,1203.7520856968838,1840.9677268166454,8576.335557295144,15516.501608249673,1203.7520856968838,1840.9677268166454,0.0000026258091549834907,1.0032817145412698,0,1.3363098866488803,0.087923
1755143536.7481,0.103688,0.015765,0,130.17578125,527.39453125,1492.6166097067885,2055.915002300658,-314114.67453324125,171.0277176869226,None,None,1245.0184462697273,1840.9677268166454,7489.598798129397,15516.501608249673,1245.0184462697273,1840.9677268166454,0.00000272115562453966,1.0029826898558118,0,1.4357305234488433,0.103688
1755143536.7652,0.120866,0.017178,0,143.70703125,493.54296875,1681.5023892796648,4737.879229743125,156127.85117257343,207.48348554680874,None,None,1299.5789391459696,1840.9677268166454,7096.496002645644,15516.501608249673,1299.5789391459696,1840.9677268166454,0.000003009657266784158,1.0025165033329464,0,1.61806318743137,0.120866
1755143536.7817,0.137306,0.01644,0,156.14453125,456.36328125,1892.4687143565602,7166.265918427766,147712.08568641375,246.68833944078028,None,None,1365.4555808360353,1892.4687143565602,7105.217242118409,15516.501608249673,1365.4555808360353,1892.4687143565602,0.000003269050465944513,1.0025553503117752,0,1.7910204062009625,0.137306
1755143536.7988,0.154389,0.017083,0,170.265625,419.20703125,2022.7749726387792,7304.735817117413,8105.713205505266,286.4374551889172,None,None,1431.1875200163097,2022.7749726387792,7127.385972673854,15516.501608249673,1431.1875200163097,2022.7749726387792,0.0000037219684373934585,1.0022459855832364,0,1.9478365492166876,0.154389
1755143536.8158,0.171415,0.017026,0,182.46484375,382.25,2101.6892665233613,6503.793643894242,-47042.298439044425,325.3558710986614,None,None,1492.1422242442234,2101.6892665233613,7065.026739795893,15516.501608249673,1492.1422242442234,2101.6892665233613,0.000004097534845655079,1.0022226122156639,0.000000000000000027755575615628914,2.086221028638756,0.171415
1755143536.8158,0.17145,0.000035,0,192.4140625,360.35546875,3274.8622446465533,92540.62890996537,21509208.81651778,349.40493453973073,None,None,1640.7022259444175,3274.8622446465533,14835.536027993117,92540.62890996537,1640.7022259444175,3274.8622446465533,0.00000042184033813539004,1.0021423859199539,0,2.1656160543735234,0.17145
1755143536.8322,0.187851,0.016401,0,205.2890625,329.67578125,2900.9958982454737,57939.8386931477,-2109675.642754568,382.67667705643186,None,None,1737.6478930444987,3274.8622446465533,18427.561250089333,92540.62890996537,1737.6478930444987,3274.8622446465533,0.0000004261034533516083,1.0019649450005172,0,2.2688122746488126,0.187851
1755143536.8484,0.204036,0.016185,0,219.3359375,303.26953125,2585.0983107933243,34702.51011667421,-1435732.3803814326,412.5866208264914,None,None,1798.1800657408435,3274.8622446465533,19679.480393672784,92540.62890996537,1798.1800657408435,3274.8622446465533,0.0000004403498526816349,1.0021969684202774,0,2.355247956943365,0.204036
1755143536.8653,0.22092,0.016884,0,223.0390625,294.625,1976.6674398671664,13480.974016175182,-1256902.1618395539,421.99093129020173,None,None,1810.0792240159317,3274.8622446465533,19236.72993813724,92540.62890996537,1810.0792240159317,3274.8622446465533,0.0000004560129619836796,1.0021499299325114,0,2.3815204609129377,0.22092
1755143536.8653,0.220947,0.000027,0,228.625,283.44921875,2320.71945388767,35240.58286286041,5439902.211671306,434.48496123661045,None,None,1841.9942383829152,3274.8622446465533,20303.65346645212,92540.62890996537,1841.9942383829152,3274.8622446465533,0.00000041239708295362957,1.002160822715024,0,2.415618447287948,0.220947
1755143536.8815,0.237098,0.016151,0,235.2421875,270.86328125,1888.6258069070386,16642.397596337774,-1151519.1174863868,448.7044194950696,None,None,1844.7372718255108,3274.8622446465533,20074.824974569972,92540.62890996537,1844.7372718255108,3274.8622446465533,0.00000042735794070857464,1.002218453737318,0,2.453415363320013,0.237098
1755143536.8996,0.255223,0.018125,0,238.55078125,264.23828125,1444.6073736058677,4300.407697279129,-680937.3737411667,456.10964856664725,None,None,1822.5078330355307,3274.8622446465533,19146.918075905804,92540.62890996537,1822.5078330355307,3274.8622446465533,0.0000004471731911202535,1.0022181451410486,0,2.4727481357973997,0.255223
1755143536.8996,0.255267,0.000044,0,241.421875,259.4453125,1430.2579457709744,1934.0783004783946,-591582.3492001836,461.6967523566055,None,None,1801.8631021268695,3274.8622446465533,18190.64919949317,92540.62890996537,1801.8631021268695,3274.8622446465533,0.0000004673937509448614,1.0023125363731162,0.00000000000000005551115123125783,2.487052871682044,0.255267
1755143536.9159,0.271481,0.016214,0,246.5,248.02734375,1232.393600271244,-2307.1359168095137,-261577.29229603484,474.193046362894,None,None,1773.3896270340883,3274.8622446465533,17111.818403898294,92540.62890996537,1773.3896270340883,3274.8622446465533,0.0000004913538117966951,1.0022562600318303,0,2.518851218451037,0.271481
1755143536.9329,0.288529,0.017048,0,251.203125,232.65234375,1145.6104065701509,-3142.151295586927,-48980.25450360238,490.2712928395974,None,None,1743.4953784405675,3274.8622446465533,16099.119918924032,92540.62890996537,1743.4953784405675,3274.8622446465533,0.000000517958716715823,1.002350409105501,0,2.558565589236569,0.288529
